created_at,package,version,publisher,license,unpacked_size,description
2026-09-24T23:17:29.399Z,@siaf-rp/components,0.1.0,devjulio26,UNLICENSED,1516973,SIAF-RP Web Components (Stencil)
2026-09-24T23:18:58.246Z,devcontainer-setup-cli,0.1.1,wesleycamargo,GPL-3.0-or-later,61852,Interactive setup for the Wesley Camargo AI Devbox devcontainer images.
2026-09-24T23:20:11.938Z,@sublevels/mcp,0.2.0,safartomas,MIT,28124,"Sublevels MCP server: lets your coding agent read review threads, reply, resolve, and capture screens of your running app into Sublevels boards."
2026-09-24T23:20:23.378Z,opencode-ember,0.1.0,oz030,MIT,35747,"Keep an LLM prompt cache warm across breaks, guard cold rewrites before you pay for them, and score what a break actually cost. An opencode plugin."
2026-09-24T23:20:30.858Z,pi-jev-triage,0.1.1,etrapeznikov,MIT,78785,"Pi extension that uses the Jev decision model to hide the parts of large tool results the agent won't need, freeing context in long sessions."
2026-09-24T23:21:29.016Z,resolve-url-modern,0.3.0,sbty,MIT,13885,"A maintained, browser-compatible continuation of resolve-url."
2026-09-24T23:21:31.668Z,mcp-for-ynab,0.2.0,alisterpineda,MIT,1314888,"Unofficial MCP server for YNAB: read-only spending, cash flow and budget analysis from a local cache"
2026-09-24T23:21:32.58Z,alimetry-edit-session-widget,0.0.1,owen-alimetry,ISC,97962,This library was generated with [Angular CLI](https://github.com/angular/angular-cli) version 15.1.0.
2026-09-24T23:21:38.115Z,@gitmyabi/payroll,1.0.0,gitmyabi-bot,MIT,112141,"Auto-generated TypeScript type bindings for Payroll (build etherscan-payroll-bd6a40bb-1790292003658, commit 8351111, branch etherscan)"
2026-09-24T23:22:49.06Z,shorthand-code,0.9.0,sebinsua,MIT,321629,"Edit repositories with Bun programs, with first-class support for TypeScript and JavaScript: a CLI and a library that Pi's code tool is built on."
2026-09-24T23:26:49.791Z,vrack2-journal-db,1.0.0,ponikrf,MIT,112576,"Append-only columnar journal DB for Node.js: gzip + dictionary/delta/RLE columns, WAL with crash-safe flush, time-range queries and pagination that skip whole files via .meta sidecars."
2026-09-24T23:27:28.109Z,@totym/sdk,0.2.0,nicksands,MIT,278034,Token-gated access for any React app. Wallet ownership → verification → access.
2026-09-24T23:31:09.443Z,@bluelamp/secret-exec,0.1.0,bluelamp,MIT,16812,金庫の値を子プロセスの環境変数にだけ入れてコマンドを実行する（値を返さない口）
2026-09-24T23:32:20.937Z,@amritk/nish-x86_64-linux,0.10.0,amritk,MIT,1362751,The @amritk/nish native compiler for Linux on x86_64
2026-09-24T23:32:24.229Z,@amritk/nish-aarch64-linux,0.10.0,amritk,MIT,951153,The @amritk/nish native compiler for Linux on ARM64
2026-09-24T23:32:27.111Z,@amritk/nish-aarch64-darwin,0.10.0,amritk,MIT,934523,The @amritk/nish native compiler for macOS on ARM64
2026-09-24T23:32:29.325Z,@relyio/next,0.1.0,mohsenelgendy,Apache-2.0,99719,"Next.js App Router bindings for the RelyIO content API: request-derived cache tags, a signed revalidation route, draft mode and an image loader over @relyio/sdk."
2026-09-24T23:32:33.591Z,@amritk/nish-x86_64-darwin,0.10.0,amritk,MIT,949537,The @amritk/nish native compiler for macOS on x86_64
2026-09-24T23:32:40.991Z,@amritk/nish,0.10.0,amritk,MIT,438667,Nish: an ahead-of-time compiler from a static subset of TypeScript to LLVM IR
2026-09-24T23:33:31.44Z,@rackbops/ac-plugin-hello-remote,0.1.0,rshelton,Apache-2.0,15551,"The reference third-party plugin: one panel, one card, GET /ping. Proves the artifact-console-plugins install path (#105)."
2026-09-24T23:35:03.067Z,domab,0.2.0,nh3_,MIT,18213,"🧩 Tiny, dependency-free TypeScript toolkit for defining type-safe domain abstractions."
2026-09-24T23:36:14.171Z,foldkit-scheduler,0.1.0,oleksandr-antonenko,MIT,274873,"Time-grid scheduler component for Foldkit: resources × time, mouse drag and touch long-press to create/move/resize, intents as OutMessages."
2026-09-24T23:36:50.856Z,foldkit-sidenav,0.1.0,oleksandr-antonenko,MIT,78665,"Grouped side navigation for Foldkit: task groups that expand in place, an icon rail with an overlay, and a full mode for phone drawers."
2026-09-24T23:37:27.184Z,foldkit-command-palette,0.1.0,oleksandr-antonenko,MIT,89551,"Command palette for Foldkit: a dialog with a query input and a sectioned listbox; ⌘K / Ctrl+K opens it, the host supplies the items."
2026-09-24T23:39:50.113Z,@pominis/player-theme,0.1.0,colinling,UNLICENSED,95151,"Shared player theme model for Pominis stories: presets, validation, resolution, CSS variables, and the live preview protocol."
