created_at,package,version,publisher,license,unpacked_size,description
2026-09-23T16:41:48Z,goatcounter-mcp,1.0.0,mrfentmen,MIT,6961,"GoatCounter stats: totals, hits, browser/system/location breakdowns. Needs site URL + key."
2026-09-23T16:41:56Z,nanoleaf-mcp,1.0.0,mrfentmen,MIT,6769,"Nanoleaf LAN control: info, state, power, effects. Needs host + pairing token."
2026-09-23T16:42:03Z,odysee-mcp,1.0.0,mrfentmen,MIT,5995,Keyless Odysee video search via Lighthouse: keyword and channel search with claim ids.
2026-09-23T16:42:10Z,ohdear-mcp,1.0.0,mrfentmen,MIT,6013,"Oh Dear API: monitors with checks and statuses, single monitor lookup. Needs token."
2026-09-23T16:42:18Z,openpanel-mcp,1.0.0,mrfentmen,MIT,7818,"OpenPanel analytics: metrics, live visitors, top pages, referrers. Needs client credentials."
2026-09-23T16:42:24Z,@liamdon/box3d.js,0.2.0,don415,MIT,4195730,"WebAssembly bindings for box3d, Erin Catto's 3D physics engine — fork with voxel field shapes"
2026-09-23T16:42:25Z,pingdom-mcp,1.0.0,mrfentmen,MIT,7089,"Pingdom API: uptime checks, results, credits. Needs API token."
2026-09-23T16:42:32Z,split-mcp,1.0.0,mrfentmen,MIT,6338,"Split feature flags: workspaces, splits, segments. Needs admin API key."
2026-09-23T16:42:38Z,statuscake-mcp,1.0.0,mrfentmen,MIT,7187,"StatusCake API: uptime checks, history, alerts, monitoring locations. Needs API key."
2026-09-23T16:42:42Z,@tinoy/pi-child-request-dump,0.1.0,tinoy,MIT,12035,Structure-only JSONL record of each outbound provider request in a child session.
2026-09-23T16:42:46Z,swetrix-mcp,1.0.0,mrfentmen,MIT,5121,Swetrix analytics: projects and project details. Needs API key.
2026-09-23T16:43:23Z,surfingdog-inbox,0.0.1,surfingdog,AGPL-3.0-only,1023,Surfing Dog Inbox: an open-source inbox where people and AI agents reach a business. The installer is coming; this name is reserved for it.
2026-09-23T16:43:27Z,@skia-canvas/darwin-arm64,4.0.0-rc1,samizdatco,MIT,27938705,Prebuilt skia-canvas native binary (darwin-arm64)
2026-09-23T16:43:31Z,@skia-canvas/darwin-x64,4.0.0-rc1,samizdatco,MIT,29207027,Prebuilt skia-canvas native binary (darwin-x64)
2026-09-23T16:43:36Z,@skia-canvas/linux-arm64-glibc,4.0.0-rc1,samizdatco,MIT,37105375,Prebuilt skia-canvas native binary (linux-arm64-glibc)
2026-09-23T16:43:43Z,@skia-canvas/linux-arm64-musl,4.0.0-rc1,samizdatco,MIT,37712988,Prebuilt skia-canvas native binary (linux-arm64-musl)
2026-09-23T16:43:48Z,@skia-canvas/linux-x64-glibc,4.0.0-rc1,samizdatco,MIT,37321409,Prebuilt skia-canvas native binary (linux-x64-glibc)
2026-09-23T16:43:48Z,@motorical/scope-catalog,0.1.0,gliepins,UNLICENSED,13740,"Canonical MCP/OAuth scope metadata for Motorical — descriptions, Public API scope mapping, implied-read rules, and declarative tool/resource membership. One source of truth consumed by motorical-back…"
2026-09-23T16:43:53Z,@skia-canvas/linux-x64-musl,4.0.0-rc1,samizdatco,MIT,38536646,Prebuilt skia-canvas native binary (linux-x64-musl)
2026-09-23T16:43:57Z,@skia-canvas/win32-arm64,4.0.0-rc1,samizdatco,MIT,27178526,Prebuilt skia-canvas native binary (win32-arm64)
2026-09-23T16:44:01Z,@skia-canvas/win32-x64,4.0.0-rc1,samizdatco,MIT,29910040,Prebuilt skia-canvas native binary (win32-x64)
2026-09-23T16:44:39Z,create-testdemo,1.0.1,harshit_dev_test,MIT,33314,Create a Node.js project from my industrial-standard template
2026-09-23T16:44:51Z,ackee-mcp,1.0.0,mrfentmen,MIT,6583,"Self-hosted Ackee analytics via GraphQL: domains, facts, top browsers."
2026-09-23T16:45:12Z,rybbit-mcp,1.0.0,mrfentmen,MIT,7772,"Rybbit analytics: site overview, users, journeys. Cloud or self-hosted."
2026-09-23T16:45:37Z,shynet-mcp,1.0.0,mrfentmen,MIT,6358,Self-hosted Shynet analytics: dashboard stats overall or per service with date range.
2026-09-23T16:45:39Z,embidly,1.0.1,jameslucky,Apache-2.0,532548,Drop-in WhatsApp-style floating AI ChatBot for websites powered by Google Gemini
2026-09-23T16:47:00Z,i18n-dynamic-translate,0.1.0,adalea,MIT,350974,Automatic translation library for i18next and Node.js i18n with support for DeepL and LibreTranslate.
2026-09-23T16:47:21Z,@lacspace/components,1.0.0,thelacspace,SEE LICENSE IN LICENSE,2410287,"A dependency-free React component library — buttons, inputs, selects, modals, tabs, toasts, progress, badges, tables of content and 60+ more. Every colour, radius, spacing and shadow is a CSS variabl…"
2026-09-23T16:47:28Z,@lacspace/charts,1.0.0,thelacspace,SEE LICENSE IN LICENSE,732497,"A dependency-free React chart library that draws real SVG — line, area, bar, stacked bar, donut, sparkline, gauge, heatmap, radar, funnel and candlestick. No canvas, no D3, no chart engine: every mar…"
2026-09-23T16:47:36Z,@lacspace/table,1.0.0,thelacspace,SEE LICENSE IN LICENSE,736131,"A dependency-free React data table — sorting, filtering, global search, pagination, row selection, column resizing, pinned columns, expandable rows, grouping and CSV export. The whole table engine is…"
2026-09-23T16:47:45Z,@lacspace/date,1.0.0,thelacspace,SEE LICENSE IN LICENSE,784004,"A dependency-free React date and time picker set — calendar, date picker, date-range picker, month and year pickers, time picker, date-time picker and an inline scheduler grid. Includes a pure, teste…"
2026-09-23T16:47:53Z,@tinoy/pi-no-subagent-fork,0.1.0,tinoy,MIT,6380,"Rewrite a subagent spawn's `context: ""fork""` to `""fresh""`."
2026-09-23T16:47:56Z,@outerlayer/cli,0.1.0,kashifali11,Apache-2.0,3647357,"OuterLayer CLI: init/doctor (hooks + daemon onboarding), watch, scan, and eval (validate/mine/qualify/report — execution-verified evals from your own PRs)"
2026-09-23T16:49:33Z,@srtfisher/address-pr-review,0.2.0,srtfisher,MIT,778711,"An agent skill and local web app for addressing pull request review feedback: it applies the fixes and drafts the replies, with a human approving every one."
2026-09-23T16:50:19Z,dsh-process-guard,0.2.0,cet-oeil,MIT,98496,DeepSeek Harness bundle that refuses shell commands terminating browsers or the harness's own host processes by image name.
2026-09-23T16:50:54Z,@robert.tools/uri,1.0.0,willi84,MIT,11828,function to handle an uri
2026-09-23T16:51:52Z,@0g-axion/comfy-mcp,0.2.1,ibrahimover,MIT,37324,Read-only MCP server over Comfy's public market and warmth surfaces on 0G.
2026-09-23T16:52:25Z,@edv4h/usketch-plugin-mode7,0.2.0,myuske,MIT,105515,ファミコン/SNES の **Mode 7** のように、Canvas を「奥へ傾く地平面」として擬似3D視点で見る **ビューモード**プラグイン。実際の Shape をそのまま傾けて表示する（編集ではなく閲覧）。ON/OFF トグル、既定 OFF。
2026-09-23T16:53:08Z,@tinoy/pi-build,0.1.0,tinoy,MIT,15206,"Run a build, compile, lint or typecheck command with bounded output, and report the exit code, the error lines and the log path."
2026-09-23T16:53:18Z,puchitto,0.1.0,shinolabs,MIT,155079,A framework for making multiplayer 3d experiences.
2026-09-23T16:53:47Z,@cyberpsychjs/experiment-digit-span,0.2.0,hejtmy,,125286,
2026-09-23T16:54:12Z,@cccteam/resource-angular,0.0.1,jtwatson,,1429755,"**@cccteam/resource-angular** is the Angular binding of [`@cccteam/resource`](../resource/README.md), the framework-neutral client for generated APIs. It is a comprehensive Angular library developed…"
2026-09-23T16:54:39Z,@codersgl/mailuo,0.1.0,codersgl,AGPL-3.0-only,576520,本地运行的个人任务看板：任务即看板，层级不限，数据存在本机的一个 SQLite 文件里
2026-09-23T16:55:24Z,agent-management,1.0.4,seancanlas,MIT,25169,Agent management system
2026-09-23T16:55:54Z,frame-master-plugin-cloudflare-update-manager,0.1.0,shpaw415,,107419,Frame Master plugin that publishes a Cloudflare Pages 404 page and clears the browser cache when a new build is deployed.
2026-09-23T16:57:07Z,@vertracloud/mcp,0.1.0,eydrenn,MIT,96658,"Official MCP server for Vertra Cloud: manage apps, databases and snapshots from Claude, Cursor or any MCP client."
2026-09-23T16:57:07Z,lambda-zankyo,0.1.0,seike460,MIT,79663,"Replay failed synchronous Lambda invocations: fixture, diff, redrive (paired with the zankyo Layer)"
2026-09-23T16:57:31Z,@pre_scripts/preui-nui,0.1.0,preacher_dev,MIT,78095,"FiveM NUI helpers for preUI: fetchNui, NUI message hooks, browser mocks and a live theme bridge"
2026-09-23T16:57:44Z,@witty-works/editor,2.0.0,lsmith77,MIT,885287,Witty's inclusive-language checker as an embeddable rich-text editor
