created_at,package,version,publisher,license,unpacked_size,description
2026-09-25T05:16:19.772Z,@sudobility/music_spatial_rn,0.0.3,johnqh,BUSL-1.1,82461,"First-person 3D 'Spatial' stage view for Moosiac scores on React Native — wireframe instrument models projected onto a Skia canvas, arrangement map overlay, touch walking."
2026-09-25T05:17:43.867Z,@corbits/mcp,0.1.0,thegreataxios,LGPL-2.1-only,64522,"MCP client tool package for Interchange: streamable HTTP, per-tool grants, OAuth."
2026-09-25T05:18:39.261Z,@ai-slot/adapter-react,0.1.0,iannil,MIT,7242,React renderer adapter for ai-slot: render validated component trees as real React components.
2026-09-25T05:18:54.248Z,@beastjs/devtools,0.1.0,re-up-hq,ISC,193765,"In-page devtools for Beast (BTSX) and Octane apps: live component state, BTSX → TSRX inspection, and automatic component extraction for deeply nested templates."
2026-09-25T05:20:00.686Z,aalai,0.0.2,daniakash,MIT,358852,"A local software factory: watches your repositories, turns issues into reviewed draft pull requests."
2026-09-25T05:20:58.209Z,@scalebun-release/protocol,2.0.3,scalebun-release,MIT,535224,"Versioned Zod wire schemas for the ScaleBun unified ingestion protocol. Pure schemas, zero platform deps — every SDK (web, RN, Flutter, native) and the backend validate against this."
2026-09-25T05:21:05.937Z,@scalebun-release/sdk-contracts,2.0.3,scalebun-release,MIT,63298,"Pure TypeScript interface/type contracts for the ScaleBun web SDK. No runtime code, no Zod, no validators — the single source of truth for shared types."
2026-09-25T05:21:26.37Z,@scalebun-release/web,2.2.2,scalebun-release,MIT,6077658,"The ScaleBun web SDK — unified-session observability for the browser (errors, network, performance, replay, sessions). Framework-agnostic core."
2026-09-25T05:21:36.824Z,@scalebun-release/cli,2.5.0,scalebun-release,MIT,1013684,Scalebun CLI — OTA bundle publishing and management
2026-09-25T05:21:45.496Z,@playfieldmultiplier/leagueos,0.1.0,dariensirius,MIT,3673,Release and integration metadata for the LeagueOS WordPress platform.
2026-09-25T05:22:07.471Z,@corbits/codex-provider,0.1.0,thegreataxios,LGPL-2.1-only,54454,"OpenAI Codex (Login with ChatGPT) as an Interchange inference provider, with OAuth token exchange, a Responses-protocol adapter, and a content-type repair for the ChatGPT backend."
2026-09-25T05:22:08.243Z,@scalebun-release/react-native,2.5.0,scalebun-release,MIT,10683668,React Native SDK for ScaleBun
2026-09-25T05:22:19.547Z,@laioutr/app-turnstile,0.1.1,screeny05,MIT,26628,Cloudflare Turnstile as the bot-protection provider for Laioutr actions
2026-09-25T05:22:22.548Z,@austindelic/austindelic-darwin-arm64,1.0.2,austindelic,GPL-3.0-only,4044295,Austin Delic's interactive terminal portfolio
2026-09-25T05:22:26.472Z,@austindelic/austindelic-darwin-x64,1.0.2,austindelic,GPL-3.0-only,4458403,Austin Delic's interactive terminal portfolio
2026-09-25T05:22:30.427Z,@austindelic/austindelic-linux-arm64,1.0.2,austindelic,GPL-3.0-only,5208187,Austin Delic's interactive terminal portfolio
2026-09-25T05:22:34.302Z,@austindelic/austindelic-linux-x64,1.0.2,austindelic,GPL-3.0-only,5705291,Austin Delic's interactive terminal portfolio
2026-09-25T05:22:37.985Z,@austindelic/austindelic-win32-x64,1.0.2,austindelic,GPL-3.0-only,5374763,Austin Delic's interactive terminal portfolio
2026-09-25T05:23:55.38Z,azcodr,1.0.1,prosubodh,MIT,439093,Enterprise Multi-Tenant Architecture & Agentic Engineering Starter Template
2026-09-25T05:25:00.433Z,@corbits/xai-provider,0.1.0,thegreataxios,LGPL-2.1-only,42844,"xAI (Grok) OAuth config, token mapping, and a Responses adapter configured for xAI's CLI chat proxy."
2026-09-25T05:26:06.808Z,@gitmyabi/trustedexecutionrouterhorizonkeystonevantage,1.0.0,gitmyabi-bot,MIT,68888,"Auto-generated TypeScript type bindings for TrustedExecutionRouterHorizonKeystoneVantage (build etherscan-trustedexecutionrouterhorizonkeystonevantage-4e9b6b8d-1790313858759, commit 123389a, branch e…"
2026-09-25T05:29:34.577Z,@xbzbing/dsh-git-panel,0.1.0,xbzbing,MIT,310583,"DeepSeek Harness (dsh) plugin: an IDE-style Git panel in the Web GUI — branch/history overview, uncommitted changes with commit & amend, diff stats, and a zsh-style branch marker in the input bar."
2026-09-25T05:29:40.761Z,@klarkxy/dsh-fusion,0.1.0,klarkxy,SEE LICENSE IN LICENSE,410605,Persistent native Lead and Sidekick collaboration with exact author-reviewed writing candidates.
2026-09-25T05:30:40.041Z,@aliens0006/vmagent,0.1.0,aliens0006,MIT,7045,Lightweight authenticated HTTP command agent for private server automation
2026-09-25T05:30:49.435Z,@wilson.liu.cn/dsh-searchhub,1.0.0,wilson.liu.cn,MIT,94262,"Stop paying for your agent's web search. dsh-searchhub is a pluggable search hub for the DeepSeek Harness — swap in mainstream search providers behind ctx.web, with a beautifully polished native Sett…"
2026-09-25T05:31:02.596Z,@haikit/postgres,0.3.0,wfoxd,MIT,35095,"Postgres store adapter for haikit: durable conversations, fenced turn leases, write-once payloads. Bring your own driver."
2026-09-25T05:31:25.992Z,create-rinlay,0.1.11,zhangtao25,MIT,10362,Scaffold a rinlay app
2026-09-25T05:31:41.901Z,edgefuzz,1.1.0,rishuyadav,MIT,347975,Zero-config adversarial API fuzzer that finds unhandled 500 crashes in your REST APIs before they hit production
2026-09-25T05:31:46.437Z,@present-day/scroll-area,0.1.0,present-day,MIT,126539,A Radix or Base UI scroll area with theme-aware edge fades and shadows
2026-09-25T05:34:39.849Z,@bender0oo0/postgres,3.4.9-kumiko.1,bender0oo0,Unlicense,300297,postgres 3.4.9 with the nextWrite null-socket fix from porsager/postgres#1209 backported. Temporary until an upstream release ships it.
2026-09-25T05:35:29.805Z,@cratebase/react,0.2.0,hello-cratebase,MIT,68877,"First-party React hooks for @cratebase/client: a CratebaseProvider/useCratebase context, typed useRecords/useRecord/useInfiniteRecords/useMutation/useAuth/usePresence/useSubscription, and a createCra…"
2026-09-25T05:35:41.213Z,@cratebase/schema-codegen,0.2.0,hello-cratebase,MIT,12136,CLI that turns a Cratebase schema-as-code JSON file (or a live GET /api/collections response) into a single .d.ts with one TypeScript type per non-system collection.
2026-09-25T05:36:19.355Z,@centerforagenticai/pi-delegate,0.8.3,centerforagenticai,MIT,5430541,"Multi-shape pi subagent delegation: supervised forks, direct workers, chain steps, detached drivers, steering, and worktree isolation."
2026-09-25T05:38:01.246Z,@byokit/link,0.1.0,umeranjum17,Apache-2.0,72822,Scan a code to pair a phone or browser with the home computer over one encrypted link (Noise IK over WebSocket).
2026-09-25T05:38:14.621Z,@nalashaacontrols/nalashaa-ui,1.0.0,nalashaacontrols,UNLICENSED,16728412,"Nalashaa in-house UI controls: data grid, tree view, list box, week view, inputs, dropdown, date/time/date-range pickers, dialog, tooltip, accordion, checkbox, switch, button. Vanilla JS core, option…"
2026-09-25T05:39:10.273Z,@inonix/fael,0.0.0,kire21b,MIT,702,fael — a repo's memory that agents can't skip writing. Placeholder; first real release coming soon.
2026-09-25T05:40:37.047Z,@valancex/mesh-lsp-linux-x64,0.4.0,valancex,MIT,2706777,The native mesh-lsp language server for linux x64. Installed by @valancex/mesh-lsp; not meant to be used directly.
2026-09-25T05:40:41.005Z,@valancex/mesh-lsp-linux-arm64,0.4.0,valancex,MIT,2642381,The native mesh-lsp language server for linux arm64. Installed by @valancex/mesh-lsp; not meant to be used directly.
2026-09-25T05:40:44.8Z,@valancex/mesh-lsp-darwin-x64,0.4.0,valancex,MIT,2453223,The native mesh-lsp language server for darwin x64. Installed by @valancex/mesh-lsp; not meant to be used directly.
2026-09-25T05:40:49.17Z,@valancex/mesh-lsp-darwin-arm64,0.4.0,valancex,MIT,2370979,The native mesh-lsp language server for darwin arm64. Installed by @valancex/mesh-lsp; not meant to be used directly.
