created_at,package,version,publisher,license,unpacked_size,description
2026-09-23T17:09:07Z,bunny-stream-react-native,1.0.0,rd09,ISC,261,
2026-09-23T17:09:10Z,bugvax,0.1.0,xeniak,MIT,117243,"Vaccinate your codebase: every bug you fix becomes a validated rule that blocks the whole bug class forever, for humans and AI agents."
2026-09-23T17:09:24Z,omnispace,0.1.0,devlucasolp,UNLICENSED,34921,Omni CLI (alpha): transforma uma pasta da sua máquina em um espaço Omni e sincroniza entre máquinas.
2026-09-23T17:10:02Z,@spreadish/react,0.1.0,m.aitisam.yaseen,MIT,101068,Virtualized React spreadsheet grid for Spreadish.
2026-09-23T17:10:04Z,@songxiyuan/dsh-tracebook,0.1.0,songxiyuan,MIT,2289603,DeepSeek Harness plugin for organizing persistent engineering investigation cases
2026-09-23T17:10:39Z,@spreadish/sometic,0.1.0,m.aitisam.yaseen,MIT,95916,Official Sometic persistence and multi-workbook workspace adapters for Spreadish.
2026-09-23T17:11:21Z,@desert-ant-labs/moderator,3.4.0,akagabi,SEE LICENSE IN LICENSE.md,173498300,"On-device NSFW image detection for JavaScript. Runs in the browser (WebAssembly + LiteRT.js) and server-side in Node (native), from one import."
2026-09-23T17:12:04Z,n8n-nodes-kapacity,0.1.1,kapacity,MIT,96799,"n8n nodes for Kapacity, the all-in-one sales CRM: contacts, CRM tables, contracts with e-signature, appointments, forms, payments and real-time webhooks."
2026-09-23T17:12:12Z,@desert-ant-labs/voz,3.4.0,akagabi,SEE LICENSE IN LICENSE.md,46325663,"On-device speech recognition for JavaScript: transcripts with word-level timestamps, 25 languages. Runs in the browser on WebAssembly + ONNX Runtime Web (WebGPU, with the decode step on WebNN where t…"
2026-09-23T17:12:14Z,zcode-acp,0.1.0,kami232,Apache-2.0,3058920,Agent Client Protocol (ACP) server bridging headless ZCode to editors like Zed and JetBrains.
2026-09-23T17:13:30Z,@wishx127/pi-fast,0.1.0,ny9u,MIT,9781,One /fast toggle for supported models in Pi
2026-09-23T17:13:32Z,broom-design,0.1.1,bobur_xd,UNLICENSED,9482,"Audit a product's UI for AI slop with Broom, from the terminal. No GitHub access needed."
2026-09-23T17:13:35Z,@yfwu2020/dsh-selection-explain,0.1.0,yfwu2020,MIT,1032985,DSH 划词解读：选中文字浮出按钮，点击弹窗流式显示专业中英翻译 + 该文字在当前上下文中的含义详解
2026-09-23T17:13:36Z,@omnium/refractor,1.0.0,omnium,MIT,3134744,A compile-time styling engine for TypeScript and React.
2026-09-23T17:13:44Z,lindera-win32-x64-msvc,0.0.1-security,npm,,154,security holding package
2026-09-23T17:13:46Z,solidity-lock,2.21.0,zhekasosnitsky44,MIT,4351942,This document describes the management of vulnerabilities for the project and all modules within the organization.
2026-09-23T17:13:48Z,@c9up/visa,0.1.0,kaen25,MIT,238010,"Visa — OAuth 2.1 authorization server for the Ream framework: authorization code with PKCE, refresh rotation, revocation and introspection, on a store contract"
2026-09-23T17:14:11Z,microcosmos-diagrams,0.1.0-preview.1,bessatheengineer,MIT,93854,Reference parser and validator for Microcosmos Diagrams (.mcos) documents.
2026-09-23T17:14:54Z,@kalir/sdk,0.1.0,kalir,MIT,84504,"Official TypeScript SDK for the Kalir Public API — digital risk intelligence (incidents, exposures, phishing, dark-web mentions) and signed webhooks."
2026-09-23T17:14:58Z,winding-engine,0.7.1,nolanbaxter,MIT,614189,"A WebGPU rendering engine for the browser. No dependencies, no build step."
2026-09-23T17:15:37Z,@sudobility/screenwriter_types,0.1.1,johnqh,BUSL-1.1,501290,Shared TypeScript types and Zod schemas for the Fadewright frontend and backend
2026-09-23T17:16:13Z,@simbiat/html-eslint-plugin-simbiat,1.0.0,simbiat,MIT,48287,"Custom @html-eslint rules used in simbiat.eu project: anchor text-node wrapping, button/input preference, redundant alt text, and checkbox label structure."
2026-09-23T17:17:02Z,loomkit-ui,0.1.0,santhoshkumarhariharan,MIT,201683,"Headless, fully-customizable core for LoomKit's modern UI components: shared types, design tokens, and framework-agnostic behavior utilities."
2026-09-23T17:17:10Z,loomkit-ui-vue,0.1.0,santhoshkumarhariharan,MIT,435517,"Vue 3 components for LoomKit — headless, fully-customizable modern UI components (TextField, Dropdown, DatePicker, FileUpload, Popup, ...)."
2026-09-23T17:17:11Z,loomkit-ui-react,0.1.0,santhoshkumarhariharan,MIT,376197,"React components for LoomKit — headless, fully-customizable modern UI components (TextField, Dropdown, DatePicker, FileUpload, Popup, ...)."
2026-09-23T17:17:31Z,opencode-brave-websearch,0.1.1,alexelcu,MIT,5548,Brave Search websearch provider for OpenCode.
2026-09-23T17:19:05Z,@sudobility/writing_formats,0.1.1,johnqh,BUSL-1.1,243980,"File-format import/export for Fadewright: Fountain, Final Draft (.fdx) and Fade In (.fadein) to and from writing_core's DocumentJSON, with conversion reports"
2026-09-23T17:19:40Z,@dklns/shared,1.0.0,dklns,,589,
2026-09-23T17:20:43Z,@combric/react,1.0.0,dasixtytwo_dev,MIT,296776,Accessible React component primitives for Combric
2026-09-23T17:20:54Z,rawdoc,0.1.0,r00neyj,UNLICENSED,45695,마크다운 편집기 rawdoc의 명령줄 도구(CLI)입니다
2026-09-23T17:21:08Z,@vexpay/node,0.1.0,tinhochu,MIT,715791,"Official Node.js/TypeScript SDK for the VEXPay API — Venezuelan payments (Pago Móvil C2P, cards, débito inmediato), payouts, checkout sessions, and signed webhooks."
2026-09-23T17:21:42Z,@combric/tailwind,1.0.0,dasixtytwo_dev,MIT,8499,Official Tailwind CSS adapter for Combric design tokens
2026-09-23T17:21:43Z,@oods/foundry,0.2.0,kneelinghorse,PolyForm-Noncommercial-1.0.0,55510409,"OODS Foundry: a design-system engine your AI assistant drives over MCP. It composes screens from governed components and tokens, generates React and Vue, and renders and certifies charts."
2026-09-23T17:21:55Z,mneme-memory,0.1.1,modusensus,MIT,26462,"Mneme memory tools as a stdio MCP server — cross-session memory for any MCP client (Claude Code / Cursor / Codex / Hermes / OpenCode / OpenClaw), backed by the dsh-mneme plugin's standalone API."
2026-09-23T17:22:03Z,@sudobility/writing_ui,0.1.1,johnqh,BUSL-1.1,520313,"React web editor components for Fadewright: ScriptEditor (speed view, controlled contenteditable) and ElementStylePicker over a writing_core document"
2026-09-23T17:22:22Z,@vexpay/js,0.1.0,tinhochu,MIT,61871,"Embed the VEXPay checkout on your website — Pago Móvil C2P and cards, with payment details kept on VEXPay's origin."
2026-09-23T17:22:24Z,@cspeach/register-core,0.1.0,laeeqsiddique,SEE LICENSE IN LICENSE,60687,"Project Register: turns record files from many laptops into one picture of a custom-code project. Pure functions, no I/O, no dependencies."
2026-09-23T17:22:31Z,@combric/cli,1.0.0,dasixtytwo_dev,MIT,83097,Optional project setup and diagnostics for Combric
2026-09-23T17:22:32Z,jevproxy,1.0.0,ab2005e,MIT,27487,"Sub-25ms tool calling accelerator for AI coding agents — Claude Code, Cursor, Codex, Windsurf, OpenCode. Zero reasoning tokens burned on deterministic decisions."
